SAMPLE_ID	mutations	cna
TARGET-20-PASFEW-09	WXS/WGS	WXS/WGS
TARGET-20-PASFIT-09	NA	WXS/WGS
TARGET-20-PASFJB-09	WXS/WGS	WXS/WGS
TARGET-20-PASFLG-09	NA	WXS/WGS
TARGET-20-PASFLM-09	WXS/WGS	NA
TARGET-20-PASFNP-09	NA	WXS/WGS
TARGET-20-PASFVP-09	NA	WXS/WGS
TARGET-20-PASFYF-09	NA	WXS/WGS
TARGET-20-PASFZN-09	NA	WXS/WGS
TARGET-20-PASGCE-09	NA	NA
TARGET-20-PASGGK-09	WXS/WGS	WXS/WGS
TARGET-20-PASGMZ-09	WXS/WGS	NA
TARGET-20-PASGWE-09	NA	WXS/WGS
TARGET-20-PASGWH-04	NA	NA
TARGET-20-PASGWH-09	WXS/WGS	WXS/WGS
TARGET-20-PASGZS-04	NA	NA
TARGET-20-PASGZS-09	NA	WXS/WGS
TARGET-20-PASHBI-09	WXS/WGS	NA
TARGET-20-PASHHH-09	NA	NA
TARGET-20-PASHLE-03	NA	NA
TARGET-20-PASHYZ-04	NA	NA
TARGET-20-PASHYZ-09	WXS/WGS	WXS/WGS
TARGET-20-PASHZX-09	NA	WXS/WGS
TARGET-20-PASIBG-09	WXS/WGS	WXS/WGS
TARGET-20-PASIEJ-09	NA	WXS/WGS
TARGET-20-PASIEP-09	NA	WXS/WGS
TARGET-20-PASINN-04	NA	NA
TARGET-20-PASINN-09	NA	NA
TARGET-20-PASIZX-09	NA	WXS/WGS
TARGET-20-PASJEJ-09	NA	WXS/WGS
TARGET-20-PASJGZ-04	NA	NA
TARGET-20-PASJGZ-09	NA	NA
TARGET-20-PASJIM-09	NA	NA
TARGET-20-PASJTM-09	WXS/WGS	NA
TARGET-20-PASKIH-09	NA	NA
TARGET-20-PASKUA-09	NA	NA
TARGET-20-PASLDL-09	NA	WXS/WGS
TARGET-20-PASLSD-03	WXS/WGS	NA
TARGET-20-PASLTF-09	NA	WXS/WGS
TARGET-20-PASLYX-09	NA	WXS/WGS
TARGET-20-PASMGW-09	WXS/WGS	WXS/WGS
TARGET-20-PASMHY-03	WXS/WGS	NA
TARGET-20-PASMYS-04	NA	NA
TARGET-20-PASMYS-09	NA	WXS/WGS
TARGET-20-PASNIY-09	NA	WXS/WGS
TARGET-20-PASPGA-09	WXS/WGS	WXS/WGS
TARGET-20-PASPKE-09	WXS/WGS	WXS/WGS
TARGET-20-PASPLU-04	NA	NA
TARGET-20-PASPLU-09	WXS/WGS	WXS/WGS
TARGET-20-PASPSV-09	NA	WXS/WGS
TARGET-20-PASPTM-09	WXS/WGS	WXS/WGS
TARGET-20-PASPTW-09	NA	WXS/WGS
TARGET-20-PASREH-09	NA	WXS/WGS
TARGET-20-PASRLS-09	NA	NA
TARGET-20-PASRRB-03	NA	WXS/WGS
TARGET-20-PASRTP-09	WXS/WGS	WXS/WGS
TARGET-20-PASSSI-09	WXS/WGS	WXS/WGS
TARGET-20-PASTPU-09	NA	WXS/WGS
TARGET-20-PASTTW-09	WXS/WGS	NA
TARGET-20-PASTUH-03	WXS/WGS	NA
TARGET-20-PASTUH-04	NA	NA
TARGET-20-PASVPJ-09	NA	WXS/WGS
TARGET-20-PASVVS-04	NA	NA
TARGET-20-PASVVS-09	WXS/WGS	NA
TARGET-20-PASVYA-04	NA	NA
TARGET-20-PASVYA-09	NA	NA
TARGET-20-PASVYL-09	WXS/WGS	WXS/WGS
TARGET-20-PASWAJ-04	NA	NA
TARGET-20-PASWAJ-09	WXS/WGS	WXS/WGS
TARGET-20-PASWAT-09	NA	WXS/WGS
TARGET-20-PASWLN-09	WXS/WGS	NA
TARGET-20-PASWPD-09	NA	NA
TARGET-20-PASWPT-09	WXS/WGS	NA
TARGET-20-PASXEA-09	NA	WXS/WGS
TARGET-20-PASXNR-04	NA	NA
TARGET-20-PASXNR-09	NA	WXS/WGS
TARGET-20-PASXYG-04	NA	NA
TARGET-20-PASXYG-09	WXS/WGS	WXS/WGS
TARGET-20-PASYJI-04	NA	NA
TARGET-20-PASYJI-09	NA	WXS/WGS
TARGET-20-PASZLJ-09	WXS/WGS	NA
TARGET-20-PASZZE-09	NA	WXS/WGS
TARGET-20-PATABB-09	NA	WXS/WGS
TARGET-20-PATAST-04	NA	NA
TARGET-20-PATAST-09	WXS/WGS	WXS/WGS
TARGET-20-PATDHA-09	WXS/WGS	NA
TARGET-20-PATDNN-04	NA	NA
TARGET-20-PATDNN-09	WXS/WGS	NA
TARGET-20-PATELT-03	WXS/WGS	WXS/WGS
TARGET-20-PATIAK-04	NA	NA
TARGET-20-PATIAK-09	WXS/WGS	NA
TARGET-20-PATJHJ-09	WXS/WGS	NA
TARGET-20-PATJHJ-40	NA	NA
TARGET-20-PATKJB-09	NA	NA
TARGET-20-PANGTF-03	NA	NA
TARGET-20-PATELT-09	NA	NA
TARGET-20-PAKIYW-03	NA	NA
TARGET-20-PANYNR-03	NA	NA
TARGET-20-PARIZR-03	NA	NA
TARGET-20-PARVAI-03	NA	NA
TARGET-20-PARYGA-03	NA	NA
TARGET-20-PASFJB-03	NA	NA
TARGET-20-PADYIR-03	NA	NA
TARGET-20-PAEERJ-03	NA	NA
TARGET-20-PAEFGT-03	NA	NA
TARGET-20-PARIMT-03	NA	NA
TARGET-20-PARUDL-03	NA	NA
TARGET-20-PASTUH-09	NA	NA
TARGET-20-PASGMZ-03	NA	NA
TARGET-20-PARFRN-03	NA	NA
TARGET-20-PARGDB-09	NA	NA
TARGET-20-PASJGZ-03	NA	NA
TARGET-20-PARXBT-03	NA	NA
TARGET-20-PARTYK-03	NA	NA
TARGET-20-PARKFB-03	NA	NA
TARGET-20-PASEFD-03	NA	NA
TARGET-20-PARNZW-09	NA	NA
TARGET-20-PARPPY-03	NA	NA
TARGET-20-PARMIX-03	NA	NA
TARGET-20-PASADG-03	NA	NA
TARGET-20-PARZMZ-03	NA	NA
TARGET-20-PASFYF-03	NA	NA
TARGET-20-PAPXUF-09	NA	NA
TARGET-20-PARBTV-09	NA	NA
TARGET-20-PARDDA-09	NA	NA
TARGET-20-PARHPP-03	NA	NA
TARGET-20-PASILA-09	NA	NA
TARGET-20-PASYDC-09	NA	NA
TARGET-20-PAPUNR-09	NA	NA
TARGET-20-PAPWZR-09	NA	NA
TARGET-20-PARCHW-09	NA	NA
TARGET-20-PARJWH-09	NA	NA
TARGET-20-PARLMY-09	NA	NA
TARGET-20-PARVSF-09	NA	NA
TARGET-20-PASHWN-09	NA	NA
TARGET-20-PASKGH-09	NA	NA
TARGET-20-PASPFE-09	NA	NA
TARGET-20-PASPWZ-03	NA	NA
TARGET-20-PASSWG-03	NA	NA
TARGET-20-PASUHK-09	NA	NA
TARGET-20-PASWTY-09	NA	NA
TARGET-20-PASXVC-09	NA	NA
TARGET-20-PATBFL-09	NA	NA
TARGET-20-PATFDF-09	NA	NA
TARGET-20-PATGAN-03	NA	NA
TARGET-20-PARPLC-03	NA	NA
TARGET-20-PASFKI-09	NA	WXS/WGS
TARGET-21-PAMXZY-09	NA	NA
TARGET-21-PAMYMA-09	NA	NA
TARGET-21-PAMYMA-41	NA	NA
TARGET-21-PANVPB-09	NA	NA
TARGET-21-PANZLR-09	NA	NA
TARGET-21-PANZLR-41	NA	NA
TARGET-21-PARBTV-09	NA	NA
TARGET-21-PARBTV-41	NA	NA
TARGET-21-PARHRS-09	NA	NA
TARGET-21-PARHRS-41	NA	NA
TARGET-21-PARLSL-09	NA	NA
TARGET-21-PARLSL-41	NA	NA
TARGET-21-PARNAW-09	NA	NA
TARGET-21-PARNAW-41	NA	NA
TARGET-21-PARXYR-03	NA	NA
TARGET-21-PARXYR-41	NA	NA
TARGET-21-PARZIA-09	NA	NA
TARGET-21-PARZIA-41	NA	NA
TARGET-21-PASDKZ-03	NA	NA
TARGET-21-PASDKZ-41	NA	NA
TARGET-21-PASDXR-09	NA	NA
TARGET-21-PASDXR-41	NA	NA
TARGET-21-PASFHK-09	NA	NA
TARGET-21-PASFHK-41	NA	NA
TARGET-21-PASFJJ-09	NA	NA
